Tallformatet viser til kolonnenummer:
0=PowerA, 1=PowerB, 
2=e, 3=TVa, 4=TVb, 5=IAE, 6=MAE, 7=u, 8=o, 
24.1015625,1.2890625,-2,182.1484375,196.25,63.1624679565,3,25,304.92392022
24.1015625,1.2890625,-1,182.1484375,196.25,63.5049996376,3,25,304.171016277
24.1015625,1.2890625,2,182.1484375,196.25,63.6536607742,3,25,303.174691584
24.7265625,0.6640625,3,182.1484375,196.25,63.9628386497,3,25,302.44096153
24.1015625,1.2890625,5,182.7734375,196.875,64.4012582302,3,25,302.719607623
24.43359375,0.37109375,5,183.3984375,197.5,65.0701892376,3,25,303.0
23.5546875,-0.5078125,5,183.73046875,198.41796875,65.8523690701,3,25,303.282092426
23.5546875,-0.5078125,5,184.609375,199.296875,66.4917039871,3,25,303.565839939
23.5546875,-0.5078125,5,184.609375,199.296875,67.1874094009,3,25,303.851198814
23.3984375,-1.9140625,7,184.609375,199.296875,67.9651737213,3,25,305.782116388
22.65625,-3.90625,8,184.765625,200.703125,69.0547730923,3,25,308.768510844
22.65625,-3.90625,8,185.5078125,202.6953125,70.5282685757,3,25,311.738394598
21.875,-4.6875,8,185.5078125,202.6953125,71.9307172298,3,25,314.691997007
19.375,-8.4375,7,186.2890625,203.4765625,73.3307816982,3,25,316.575103337
19.140625,-10.546875,6,188.7890625,207.2265625,74.5809671879,3,25,317.559978381
18.0078125,-12.9296875,6,189.0234375,209.3359375,75.6503889561,3,24,330.145668361
19.296875,-12.265625,6,190.15625,211.71875,76.5903909206,3,24,330.364109978
18.4375,-13.75,5,191.4453125,212.3828125,77.5558803082,3,24,330.024124992
18.6328125,-13.5546875,4,192.3046875,213.8671875,78.3562860489,3,24,329.290648531
20.625,-12.03125,3,192.5,214.0625,79.0425262451,3,24,328.326491179
21.796875,-10.859375,2,194.4921875,215.5859375,79.5089480877,3,24,327.292389426
23.75,-8.90625,2,195.6640625,216.7578125,79.8196861744,3,24,326.267997588
25.15625,-6.40625,0,197.6171875,218.7109375,80.1704862118,3,24,325.568408817
25.46875,-6.71875,-1,199.0234375,221.2109375,80.1704862118,3,24,325.269119346
25.46875,-6.71875,-2,199.3359375,221.5234375,80.3503522873,3,24,325.523043015
25.3515625,-6.2109375,-2,199.3359375,221.5234375,80.6603159904,3,24,325.7784673
26.07421875,-6.73828125,-1,199.453125,222.03125,80.9897522926,3,24,325.490408554
25.44921875,-6.11328125,0,200.17578125,222.55859375,81.1478011608,3,24,324.818995008
26.796875,2.109375,1,200.80078125,223.18359375,81.1478011608,3,24,323.922405139
28.65234375,18.02734375,5,202.1484375,231.40625,81.3322663307,3,24,323.651276545
17.03125,22.03125,9,204.00390625,247.32421875,82.1020853519,3,24,326.461538462
-0.625,23.28125,11,215.625,251.328125,83.5298466682,3,24,331.712357676
-9.16015625,22.24609375,14,233.28125,252.578125,85.3227035999,3,24,341.752971556
-19.609375,20.390625,13,241.81640625,253.61328125,87.3898437023,3,24,349.984218913
-19.8046875,20.1953125,14,252.265625,255.46875,89.5257184505,3,24,359.919355129
-17.1484375,17.5390625,12,252.4609375,255.6640625,91.633754015,4,24,366.464594266
-16.3671875,16.7578125,7,255.1171875,258.3203125,93.6476051807,4,24,367.30587487
-3.671875,16.171875,3,255.8984375,259.1015625,94.6610946655,4,24,366.336283662
21.25,17.8125,0,268.59375,259.6875,95.1189813614,4,24,365.600628021
29.375,25.3125,-1,293.515625,261.328125,95.1189813614,4,24,365.246792048
27.421875,27.265625,0,301.640625,268.828125,95.2703313828,3,24,364.524094735
14.609375,22.109375,8,303.59375,270.78125,95.2703313828,4,24,366.193399115
-1.953125,23.046875,15,316.40625,275.9375,96.6043233871,4,24,377.742085123
-11.015625,19.609375,11,332.96875,276.875,99.4510805607,4,24,382.707022192
-18.046875,18.828125,-9,342.03125,280.3125,101.255951643,4,24,390.604519572
-20.1953125,19.0234375,-7,349.0625,281.09375,102.577654123,4,24,395.513047386
-21.5625,18.4375,15,351.2109375,281.2890625,103.839719057,4,24,406.867771867
-11.97265625,12.55859375,18,352.578125,281.875,106.186995268,4,24,424.543397987
18.6328125,15.7421875,14,362.16796875,287.75390625,109.400032759,4,24,433.937056477
18.1640625,-2.9296875,12,392.7734375,290.9375,111.761158228,4,24,440.074679349
21.875,-0.78125,12,393.2421875,309.609375,113.663938761,4,24,446.182846236
22.109375,0.546875,13,396.953125,311.7578125,115.617648363,4,24,453.785394444
20.703125,0.390625,15,397.1875,313.0859375,118.019411802,4,24,464.82432644
18.8671875,15.8984375,16,398.59375,313.2421875,120.569799185,4,23,489.881703407
28.046875,24.296875,14,400.4296875,328.75,123.296376944,4,23,497.320702192
24.921875,33.671875,-5,409.609375,337.1484375,125.678547621,4,23,500.632224004
25.46875,37.03125,-20,412.734375,346.5234375,126.526092291,4,24,522.549023587
18.828125,31.953125,9,413.28125,349.8828125,130.375894308,4,23,538.428571429
18.0078125,30.4296875,18,419.921875,354.9609375,132.079719305,4,23,553.090849056
17.0703125,27.8515625,11,420.7421875,356.484375,135.287122011,4,23,556.240668972
17.55859375,27.55859375,-4,421.6796875,359.0625,137.596209764,4,23,558.314837065
21.484375,26.953125,-29,422.16796875,359.35546875,138.814077616,4,24,613.76868607
24.21875,24.21875,9,426.09375,359.9609375,144.047534466,4,24,615.696188083
22.34375,22.578125,7,428.828125,362.6953125,145.777009964,4,23,629.860522043
4.1796875,4.4140625,5,430.703125,364.3359375,147.058170795,4,23,628.587971121
0.078125,0.3125,4,448.8671875,382.5,147.894540787,4,23,627.115435632
0.6640625,-0.2734375,4,452.96875,386.6015625,148.570680618,4,23,625.65385895
0.1171875,0.2734375,4,453.5546875,387.1875,149.156112671,4,23,624.203107504
0.1171875,0.2734375,4,454.1015625,387.734375,149.78143692,4,23,622.763049984
0.1171875,0.2734375,4,454.1015625,387.734375,150.380332947,4,23,621.333557297
0.1171875,0.2734375,4,454.1015625,387.734375,151.021300316,4,23,619.914502517
0.1171875,0.2734375,4,454.1015625,387.734375,151.66179657,4,23,618.505760839
0.1171875,0.2734375,4,454.1015625,387.734375,152.267204285,4,23,617.107209532
0.1171875,0.2734375,4,454.1015625,387.734375,152.92550087,4,23,615.7187279
0.1171875,0.2734375,4,454.1015625,387.734375,153.541924477,4,23,614.340197231
0.1171875,0.2734375,4,454.1015625,387.734375,154.148896217,4,23,612.971500763
0.1171875,0.2734375,4,454.1015625,387.734375,154.784968376,4,23,611.612523637
0.1171875,0.2734375,4,454.1015625,387.734375,155.365020752,4,23,610.263152862
0.1171875,0.2734375,4,454.1015625,387.734375,155.9585886,4,23,608.923277272
0.1171875,0.2734375,4,454.1015625,387.734375,156.561264992,4,23,607.592787492
0.1171875,0.2734375,4,454.1015625,387.734375,157.2013731,4,23,606.2715759
0.1171875,0.2734375,4,454.1015625,387.734375,157.829029083,4,23,604.959536588
0.1171875,0.2734375,4,454.1015625,387.734375,158.418557167,4,23,603.656565332
0.1171875,0.2734375,4,454.1015625,387.734375,158.987244606,4,23,602.362559555
0.1171875,0.2734375,4,454.1015625,387.734375,159.613044739,4,23,601.077418292
0.1171875,0.2734375,4,454.1015625,387.734375,160.224761009,4,23,599.801042162
0.1171875,0.2734375,4,454.1015625,387.734375,160.831960678,4,23,598.533333333
0.1171875,0.2734375,4,454.1015625,387.734375,161.466153145,4,23,597.274195493
0.1171875,0.2734375,4,454.1015625,387.734375,162.102348328,4,23,596.023533817
0.1171875,0.2734375,4,454.1015625,387.734375,162.747904778,4,23,594.78125494
0.1171875,0.2734375,4,454.1015625,387.734375,163.355124474,4,23,593.547266929
0.1171875,0.2734375,4,454.1015625,387.734375,163.97187233,4,23,592.321479251
0.1171875,0.2734375,4,454.1015625,387.734375,164.665600777,4,23,591.103802752
7.9296875,8.0859375,4,454.1015625,387.734375,165.40576458,4,23,589.894149622
7.34375,7.5,4,461.9140625,395.546875,165.816196442,4,23,588.692433377
